Date,Sales
10/1/2013,123.65499
10/2/2013,125.455
10/3/2013,108.58483
10/4/2013,118.67466
10/5/2013,121.33866
10/6/2013,120.65533
10/7/2013,121.795
10/8/2013,123.033
10/9/2013,124.049
10/10/2013,125.96116
10/11/2013,125.27966
10/12/2013,125.9275
10/13/2013,126.38333
10/14/2013,135.24199
10/15/2013,133.20333
10/16/2013,142.76333
10/17/2013,137.92333
10/18/2013,142.95166
10/19/2013,152.55183
10/20/2013,160.33883
10/21/2013,164.31499
10/22/2013,177.63333
10/23/2013,188.29716
10/24/2013,200.70166
10/25/2013,180.355
10/26/2013,175.03166
10/27/2013,177.6965
10/28/2013,187.15983
10/29/2013,192.75666
10/30/2013,197.4
10/31/2013,196.02499
11/1/2013,198.04883
11/2/2013,198.93233
11/3/2013,200.543
11/4/2013,210.3075
11/5/2013,225.02
11/6/2013,248.25333
11/7/2013,262.32666
11/8/2013,294.48699
11/9/2013,331.10325
11/10/2013,285.8875
11/11/2013,304.97974
11/12/2013,338.137
11/13/2013,357.48
11/14/2013,402.954
11/15/2013,409.10375
11/16/2013,420.21649
11/17/2013,437.29725
11/18/2013,510.6025
11/19/2013,693.65
11/20/2013,531.54249
11/21/2013,574.71599
11/22/2013,681.33
11/23/2013,774.18
11/24/2013,746.19374
11/25/2013,768.8475
11/26/2013,789.36475
11/27/2013,893.1815
11/28/2013,934.355
11/29/2013,1068.363
11/30/2013,1154.92593
12/1/2013,1099.51926
12/2/2013,1019.78966
12/3/2013,1028.845
12/4/2013,1071.2848
12/5/2013,1139.33083
12/6/2013,1004.61633
12/7/2013,759.43041
12/8/2013,689.81
12/9/2013,841.83966
12/10/2013,916.77599
12/11/2013,967.42866
12/12/2013,866.29003
12/13/2013,911.23204
12/14/2013,889.81946
12/15/2013,848.9975
12/16/2013,868.95316
12/17/2013,653.80483
12/18/2013,654.06266
12/19/2013,553.69166
12/20/2013,693.05883
12/21/2013,649.38965
12/22/2013,595.95883
12/23/2013,647.68316
12/24/2013,671.58116
12/25/2013,659.84333
12/26/2013,702.00083
12/27/2013,758.01016
12/28/2013,734.01166
12/29/2013,717.92623
12/30/2013,752.82022
12/31/2013,744.17249
1/1/2014,768.40783
1/2/2014,769.09849
1/3/2014,804.02719
1/4/2014,813.31748
1/5/2014,871.11583
1/6/2014,970.65083
1/7/2014,962.46447
1/8/2014,855.75933
1/9/2014,860.84166
1/10/2014,847.5325
1/11/2014,892.26115
1/12/2014,916.69666
1/13/2014,873.27168
1/14/2014,863.69888
1/15/2014,853.25666
1/16/2014,874.07416
1/17/2014,842.19173
1/18/2014,834.86666
1/19/2014,838.42916
1/20/2014,881.87583
1/21/2014,873.28916
1/22/2014,874.13266
1/23/2014,864.56116
1/24/2014,838.14997
1/25/2014,834.57416
1/26/2014,858.12641
1/27/2014,887.08337
1/28/2014,830.53133
1/29/2014,832.89496
1/30/2014,832.87399
1/31/2014,841.48914
2/1/2014,847.36383
2/2/2014,854.7225
2/3/2014,856.03366
2/4/2014,847.70697
2/5/2014,844.28836
2/6/2014,802.75333
2/7/2014,748.43559
2/8/2014,692.66914
2/9/2014,668.86463
2/10/2014,700.44843
2/11/2014,694.3125
2/12/2014,665.7975
2/13/2014,645.615
2/14/2014,578.4125
2/15/2014,641.91
2/16/2014,656.2725
2/17/2014,611.04499
2/18/2014,634.99
2/19/2014,618.79
2/20/2014,619.8425
2/21/2014,545.7625
2/22/2014,561.535
2/23/2014,622.22
2/24/2014,572.7675
2/25/2014,501.155
2/26/2014,550.6025
